Date,top10_vol_avg_index_logreturn,top30_vol_avg_index_logreturn,top50_vol_avg_index_logreturn,all_avg_index_logreturn,Bloomberg_galaxy_crypto_index_avg_logreturn,Bloomberg_galaxy_crypto_index_weighted_avg_logreturn
2022-06-30 17:00:00,,,,,,0.0
2022-06-30 17:15:00,0.002391686777188539,0.0031216189902763722,0.003139076841110109,0.003115335195730323,0.0034027890735025914,0.0014792191293078027
2022-06-30 17:30:00,0.0012522261660504218,-0.0005588473984354611,-0.0006884497433964191,-0.0004880573349413832,-0.0002723906353981411,0.001275737297163798
2022-06-30 17:45:00,-2.9643397121689e-05,1.1670467805720075e-05,0.0005579854665720185,5.5633596807978465e-05,-0.0004065286395518964,-0.0008695915808992431
2022-06-30 18:00:00,-0.0034806098079356307,-0.002660491922900904,-0.002809755428925366,-0.00316544814792241,-0.0028930415936916165,-0.00232959114964269
2022-06-30 18:15:00,-0.0030883788357936384,-0.0029866473074180912,-0.0032642213590892283,-0.003493877552642237,-0.0026613407098303103,-0.002027696453473191
2022-06-30 18:30:00,-0.006526581055684054,-0.007101013518112023,-0.0071902411906233435,-0.007954234452420146,-0.007556293790103161,-0.006301717233994304
2022-06-30 18:45:00,0.001786511868891564,0.0035033084351291373,0.002914217455539236,0.003947836977514132,0.0032587412240048224,0.0011973516502682545
2022-06-30 19:00:00,-0.0012017236847903783,-0.0006845493062628601,-0.00036384925995746795,0.0002696728647931589,-0.0021506810517280014,-0.002735336837031784
2022-06-30 19:15:00,0.007646656030216395,0.0062507811694875615,0.0066836512340254835,0.007893424103116881,0.00660666815419219,0.003965747960396103
2022-06-30 19:30:00,-0.0061984242552953995,-0.007010233025187671,-0.007328784230545563,-0.0070887960479435064,-0.007080891208207235,-0.005467380419941332
2022-06-30 19:45:00,0.00805419041865813,0.008741550567345826,0.008665095359448037,0.008854837112886586,0.008547806182474554,0.005189722574344258
2022-06-30 20:00:00,0.0008454047876903086,0.0005931800699735184,-0.0003877975597629321,0.00019399816935241826,0.0011991821622563262,0.002454377221774632
2022-06-30 20:15:00,0.0008292779666219861,-0.0009176508468847048,-0.001108395447497133,-0.00158405781686181,0.00017411920746607213,0.002234439553812593
2022-06-30 20:30:00,-0.012196022841400029,-0.01251436942566858,-0.012546247111328318,-0.01241743274641799,-0.012116796313956842,-0.011740222088146233
2022-06-30 20:45:00,-0.0011403287588990243,-1.404481517737669e-05,0.0008041580783699886,0.0018717772470906436,-0.00019605517606636764,-0.0031822313945634568
2022-06-30 21:00:00,0.009189546369117185,0.008935010548472806,0.008311631868249948,0.006732749129895164,0.009695648874186951,0.010438225474887106
2022-06-30 21:15:00,-0.00032489257060643576,-0.0007005082785865639,-0.0005685185111965606,-0.00031481856613904484,0.00035837213570577374,0.0006384296384128826
2022-06-30 21:30:00,-0.001302887079364658,-0.001289990929087932,-0.0011567568500117475,-0.001145967000723281,-0.0007279344118591944,-0.0013696900553512746
2022-06-30 21:45:00,-0.004032132864316647,-0.0037274276481549457,-0.0039896784228144995,-0.003340546313387764,-0.0034510937052999687,-0.002991516842827585
2022-06-30 22:00:00,-0.0015594524765754746,-0.00026877175446982814,-0.00021564403136222252,-0.00042173073147955514,0.0007404639682857569,-0.0013815175300935405
2022-06-30 22:15:00,0.008565936735626521,0.008267834152470692,0.008536477054274069,0.008733821178000428,0.008335263994604719,0.006961788350858586
2022-06-30 22:30:00,0.009255626053550521,0.007189815407732197,0.007466995331678833,0.007334771625657054,0.0044274820969509516,0.0032012884625249507
2022-06-30 22:45:00,-0.0018363478740368265,-0.002512760722074464,-0.0018346135739299417,-0.003054275300431319,-0.002733583247422719,-0.003119769925453956
2022-06-30 23:00:00,0.00031927918215852866,0.0009535012874477103,0.0005481596065870787,0.00019390693079175824,7.359825295168322e-05,0.0018813650626979346
2022-06-30 23:15:00,-0.008596818777352539,-0.011280020155007502,-0.011533246947494575,-0.013922254849788233,-0.008958204820535757,-0.003673416324339011
2022-06-30 23:30:00,0.01387364635358086,0.01398846240224297,0.01452932132936395,0.01514850531172427,0.013945526499587007,0.00863994949355748
2022-06-30 23:45:00,0.03485014048796721,0.03086598943848172,0.029085237622923397,0.02854438320096347,0.03506433273653411,0.03937835950336452
2022-07-01 00:00:00,-0.005226947284839545,-0.0039507748551585835,-0.003997127229013171,-0.0016031245700810532,-0.005656794893190591,-0.010097638744335953
2022-07-01 00:15:00,0.027973076082869253,0.02098741789635548,0.021658553483343418,0.018663510294458927,0.023191034506401503,0.03207431156564788
2022-07-01 00:30:00,-0.0053865099734437,-0.0018270715263185898,-0.0015948151825839053,-0.0018221216859557337,-0.0014932129357600446,-0.0022385257561521434
2022-07-01 00:45:00,0.0009634429265927683,0.0005856881011343616,0.0023754650934040564,0.0017314533427243313,0.0007798630329513009,-0.0007795742795095595
2022-07-01 01:00:00,-0.00013880356274477814,-0.00019482079028996634,-0.00024441770113094413,0.00019096368900627184,-0.0006778650549379012,-0.0024463945154898086
2022-07-01 01:15:00,0.005026980510922777,0.0039767569975485625,0.0033053470487458695,0.003194412156793386,0.004498431969055421,0.004665197560608506
2022-07-01 01:30:00,-0.001313723206810569,-0.0012492711393708893,-0.0005701765824117906,-0.0019169710090808508,-0.0009560744536519909,1.3608199477870702e-05
2022-07-01 01:45:00,-0.0009511056514102425,-0.00022838781611777515,-0.0006875466762276349,-0.00030910648403990713,0.00018845854709935493,0.0007932065702677108
2022-07-01 02:00:00,0.005939496870098135,0.0036903797150557886,0.004632325022356365,0.0037953417819437873,0.0029949437399019183,0.004295419890224293
